doc_id,sec_code,period_end,category_key,category_en,category_custom,headcount,total_yen,avg_per_head_yen,fixed_yen,base_yen,performance_yen,bonus_yen,non_monetary_yen,retirement_yen,other_components_yen,other_components,components_reconcile
S100YTD0,2998,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,103677000.0,20735400,74568000.0,,29108000.0,,,,,,1
S100YTD0,2998,2026-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YTD0,2998,2026-03-31,OutsideDirectorsMember,Outside directors,0,4.0,15600000.0,3900000,15600000.0,,,,,,,,1
S100YTD0,2998,2026-03-31,OutsideCorporateAuditorsMember,Outside statutory auditors,0,3.0,15960000.0,5320000,15960000.0,,,,,,,,1
S100YTD8,9444,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,84840000.0,21210000,,84840000.0,,,,,,,1
S100YTD8,9444,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,4688000.0,4688000,,4688000.0,,,,,,,1
S100YTD8,9444,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,8.0,10050000.0,1256250,,10050000.0,,,,,,,1
S100YTDH,,2026-03-31,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,8.0,36000000.0,4500000,36000000.0,,,,,,,,1
S100YTDH,,2026-03-31,DirectorsAppointedAsAuditAndSupervisoryCommitteeMembersExcludingOutsideDirectorsMember,Audit-cttee directors (excl. outside),0,1.0,1000000.0,1000000,1000000.0,,,,,,,,1
S100YTDH,,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,9.0,13000000.0,1444444,13000000.0,,,,,,,,1
S100YTDJ,9444,2025-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,132369000.0,26473800,,132369000.0,,,,,,,1
S100YTDJ,9444,2025-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,1800000.0,1800000,,1800000.0,,,,,,,1
S100YTDJ,9444,2025-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,6.0,6450000.0,1075000,,6450000.0,,,,,,,1
S100YTFF,4667,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,131839000.0,32959750,,106356000.0,14523000.0,,,,10959000.0,ShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
