doc_id,edinet_code,sec_code,listed,industry,company_ja,company_en,period_end,filing_date,representative,board_size,male_officers,female_officers,female_ratio_filed,female_ratio_calc,officers_tagged,officers_untagged,avg_age,avg_tenure,avg_salary_yen,female_managers_ratio,gender_pay_gap_all,male_childcare_leave,pay_total_yen,named_pay_count,status,detail
S100YI9D,E03332,7637,listed,卸売業,白銅株式会社,"Hakudo Co., Ltd.",2026-03-31,2026-06-23,代表取締役社長 山田 哲也,9,8.0,1.0,0.111,0.1111,9.0,0.0,41.5,15.7,7775748.0,0.114,0.767,,242000000.0,0,clean,
S100YIA0,E30682,6096,listed,サービス業,株式会社レアジョブ,"RareJob, Inc.",2026-03-31,2026-06-23,代表取締役社長 中村 岳,7,7.0,0.0,0.0,0.0,7.0,0.0,40.5,4.9,6878000.0,,,,55348000.0,0,clean,
S100YIA4,E35483,7089,listed,サービス業,フォースタートアップス株式会社,"for Startups, Inc.",2026-03-31,2026-06-23,代表取締役 CEO 志水 雄一郎,9,7.0,2.0,0.22,0.2222,9.0,0.0,30.6,2.58,6877000.0,0.188,0.824,,110610000.0,0,clean,
S100YIAC,E30118,7779,listed,精密機器,CYBERDYNE株式会社,"CYBERDYNE,INC.",2026-03-31,2026-06-23,代表取締役社長 山海 嘉之,8,8.0,,,,,,44.6,9.3,6885000.0,,,,76000000.0,0,clean,
S100YIAO,E35334,7686,listed,卸売業,株式会社ひとまいる(旧会社名 株式会社カクヤスグループ),"HitoMile Co., Ltd.(旧英訳名 Kakuyasu Group Co., Ltd.)",2026-03-31,2026-06-23,代表取締役社長 兼 CEO 前垣内 洋行,12,11.0,1.0,0.083,0.0833,12.0,0.0,41.9,10.4,6341960.0,0.184,0.899,,300000000.0,0,clean,
S100YIB5,E05156,4819,listed,情報・通信業,株式会社デジタルガレージ,"Digital Garage, Inc.",2026-03-31,2026-06-23,代表取締役 兼 社長執行役員グループCEO 林 郁,13,11.0,2.0,0.154,0.1538,13.0,0.0,39.7,5.0,8495812.0,0.188,0.686,,754000000.0,2,clean,
S100YIBK,E00569,3571,listed,繊維製品,株式会社ソトー,"SOTOH CO.,LTD.",2026-03-31,2026-06-23,取締役社長 上 田 康 彦,8,7.0,1.0,0.125,0.125,8.0,0.0,45.5,20.9,4858000.0,,0.778,,48300000.0,0,clean,
S100YIBN,E31446,6045,listed,サービス業,株式会社レントラックス,"Rentracks CO.,LTD.",2026-03-31,2026-06-23,代表取締役社長 山﨑 大輔,11,10.0,1.0,0.091,0.0909,11.0,0.0,31.1,5.7,5883000.0,,,,114800000.0,0,clean,
S100YIBR,E01585,6305,listed,機械,日立建機株式会社,"Hitachi Construction Machinery Co., Ltd.",2026-03-31,2026-06-23,執行役社長 先崎 正文,10,25.0,2.0,0.074,0.2,27.0,17.0,41.1,15.2,7744000.0,0.03,0.77,,1204000000.0,2,clean,
S100YIBT,E04337,9360,listed,倉庫・運輸関連,鈴与シンワート株式会社,SUZUYO SHINWART CORPORATION,2026-03-31,2026-06-23,代表取締役 德 田 康 行,9,9.0,0.0,0.0,0.0,9.0,0.0,41.6,10.6,7251000.0,0.096,0.824,,96000000.0,0,clean,
