doc_id,sec_code,period_end,person_key,name_en,consolidated_pay_yen,voluntary_below_100m,on_board_at_filing
S100YFAW,6869,2026-03-31,ietsugu-hisashi,Ietsugu Hisashi,196000000,0,1
S100YFAW,6869,2026-03-31,asano-kaoru,Asano Kaoru,174000000,0,1
S100YFCP,8056,2026-03-31,saito-noboru,Saito Noboru,163000000,0,1
S100YFCP,8056,2026-03-31,katsuya-koji,Katsuya Koji,106000000,0,1
S100YFCS,4062,2026-03-31,aoki-takeshi,Aoki Takeshi,155000000,0,1
S100YFCS,4062,2026-03-31,kawashima-koji,Kawashima Koji,151000000,0,1
S100YFDV,7994,2026-03-31,nakamura-masayuki,Nakamura Masayuki,175000000,0,1
S100YFE3,6471,2026-03-31,ichii-akitoshi,Ichii Akitoshi,213000000,0,1
S100YFE3,6471,2026-03-31,suzuki-keita,Suzuki Keita,110000000,0,1
S100YFE3,6471,2026-03-31,ochiai-hideki,Ochiai Hideki,111000000,0,0
S100YFG9,3402,2026-03-31,nikkaku-akihiro,Nikkaku Akihiro,156000000,0,1
S100YFG9,3402,2026-03-31,ohya-mitsuo,Ohya Mitsuo,156000000,0,1
S100YFGL,6703,2026-03-31,takahiro-mori,Takahiro Mori,121000000,0,1
S100YFHH,5929,2026-03-31,takayama-yasushi,Takayama Yasushi,144000000,0,1
S100YFHH,5929,2026-03-31,takayama-meiji,Takayama Meiji,136000000,0,1
S100YFKZ,7270,2026-03-31,osaki-atsushi,Osaki Atsushi,130000000,0,1
S100YFQT,9532,2026-03-31,honjo-takehiro,Honjo Takehiro,118000000,0,1
S100YFQT,9532,2026-03-31,fujiwara-masataka,Fujiwara Masataka,127000000,0,1
S100YFRY,5711,2026-03-31,tanaka-tetsuya,Tanaka Tetsuya,121000000,0,1
S100YFSR,4188,2026-03-31,chikumoto-manabu,Chikumoto Manabu,171000000,0,1
S100YFV2,7245,2026-03-31,hanji-seigo,Hanji Seigo,155000000,0,1
S100YFV2,7245,2026-03-31,furukawa-tomomitsu,Furukawa Tomomitsu,103000000,0,1
S100YFWX,8022,2026-03-31,mizuno-akito,Mizuno Akito,103000000,0,1
S100YG3E,1860,2026-03-31,ootani-seisuke,Ootani Seisuke,111000000,0,1
S100YG3O,7616,2026-03-31,kuroudo-kaneo,Kuroudo Kaneo,285000000,0,1
S100YG3Q,6954,2026-03-31,inaba-yoshiharu,Inaba Yoshiharu,183000000,0,0
S100YG3Q,6954,2026-03-31,yamaguchi-kenji,Yamaguchi Kenji,366000000,0,1
S100YG3Q,6954,2026-03-31,sasuga-ryuji,Sasuga Ryuji,140000000,0,1
S100YG3Q,6954,2026-03-31,michael-j-cicco,Michael J Cicco,420000000,0,1
S100YG5L,8591,2026-03-31,inoue-makoto,Inoue Makoto,552000000,0,1
S100YG5L,8591,2026-03-31,takahashi-hidetake,Takahashi Hidetake,463000000,0,1
S100YG5L,8591,2026-03-31,matsuzaki-satoru,Matsuzaki Satoru,291000000,0,1
S100YG5L,8591,2026-03-31,stan-koyanagi,Stan Koyanagi,317000000,0,1
S100YG5L,8591,2026-03-31,mikami-yasuaki,Mikami Yasuaki,118000000,0,0
S100YG5L,8591,2026-03-31,arita-eiji,Arita Eiji,115000000,0,0
S100YG5L,8591,2026-03-31,miayake-seiichi,Miayake Seiichi,141000000,0,0
S100YG81,6645,2026-03-31,yamada-yoshihito,Yamada Yoshihito,240000000,0,1
S100YG81,6645,2026-03-31,tsujinaga-junta,Tsujinaga Junta,369000000,0,1
S100YG81,6645,2026-03-31,miyata-kiichiro,Miyata Kiichiro,190000000,0,1
S100YG81,6645,2026-03-31,tomita-masahiko,Tomita Masahiko,142000000,0,1
S100YG81,6645,2026-03-31,yukumoto-shizuto,Yukumoto Shizuto,107000000,0,1
S100YGAR,4980,2026-03-31,shinya-yoshihisa,Shinya Yoshihisa,216000000,0,1
S100YGAR,4980,2026-03-31,kitajo-katsushi,Kitajo Katsushi,104000000,0,1
S100YGBO,6501,2026-03-31,higashihara-toshiaki,Higashihara Toshiaki,527000000,0,1
S100YGBO,6501,2026-03-31,tokunaga-toshiaki,Tokunaga Toshiaki,761000000,0,1
S100YGBO,6501,2026-03-31,abe-jun,Abe Jun,263000000,0,0
S100YGBO,6501,2026-03-31,brice-koch,Brice Koch,1390000000,0,0
S100YGBO,6501,2026-03-31,noriharu-amiya,Noriharu Amiya,169000000,0,0
S100YGBO,6501,2026-03-31,tomomi-kato,Tomomi Kato,181000000,0,0
S100YGBO,6501,2026-03-31,shashank-samant,Shashank Samant,1048000000,0,0
S100YGBO,6501,2026-03-31,andreas-schierenbeck,Andreas Schierenbeck,819000000,0,0
S100YGBO,6501,2026-03-31,jun-taniguchi,Jun Taniguchi,201000000,0,0
S100YGBO,6501,2026-03-31,lorena-dellagiovanna,Lorena Dellagiovanna,827000000,0,0
S100YGBO,6501,2026-03-31,nagano-katsuya,Nagano Katsuya,188000000,0,0
S100YGBO,6501,2026-03-31,hasegawa-masahiko,Hasegawa Masahiko,187000000,0,0
S100YGBO,6501,2026-03-31,giuseppe-marino,Giuseppe Marino,633000000,0,0
S100YGBO,6501,2026-03-31,atsuhiro-aketa,Atsuhiro Aketa,142000000,0,0
S100YGBO,6501,2026-03-31,hidenori-azushima,Hidenori Azushima,104000000,0,0
S100YGBO,6501,2026-03-31,yasunori-inada,Yasunori Inada,127000000,0,0
S100YGBO,6501,2026-03-31,yasuki-imai,Yasuki Imai,101000000,0,0
S100YGBO,6501,2026-03-31,kume-tadashi,Kume Tadashi,124000000,0,0
S100YGBO,6501,2026-03-31,takashi-saito,Takashi Saito,126000000,0,0
S100YGBO,6501,2026-03-31,shigetoshi-sameshima,Shigetoshi Sameshima,105000000,0,0
S100YGBO,6501,2026-03-31,susumu-takimoto,Susumu Takimoto,100000000,0,0
S100YGBO,6501,2026-03-31,yasuhiro-takeuchi,Yasuhiro Takeuchi,137000000,0,0
S100YGBO,6501,2026-03-31,nakakita-kojin,Nakakita Kojin,139000000,0,0
S100YGBO,6501,2026-03-31,nakatsu-hideshi,Nakatsu Hideshi,124000000,0,0
S100YGBO,6501,2026-03-31,nukui-seiichiro,Nukui Seiichiro,164000000,0,0
S100YGBO,6501,2026-03-31,hirohide-hirai,Hirohide Hirai,111000000,0,0
S100YGBO,6501,2026-03-31,michele-fracchiolla,Michele Fracchiolla,188000000,0,0
S100YGBO,6501,2026-03-31,yoshinori-hosoya,Yoshinori Hosoya,125000000,0,0
