# Municipality centroids: median of Geolonia Japanese-addresses (CC BY 4.0,
# https://github.com/geolonia/japanese-addresses, snapshot 2023-11-15).
# Attribution required wherever coordinates derived from this file are displayed.
code,pref,city,lat,lng
05213,秋田県,北秋田市,40.1893,140.36808
05214,秋田県,にかほ市,39.25805,139.92995
05215,秋田県,仙北市,39.62878,140.58193
05303,秋田県,鹿角郡小坂町,40.3235,140.74165
05327,秋田県,北秋田郡上小阿仁村,40.05795,140.30438
05346,秋田県,山本郡藤里町,40.33847,140.29225
05348,秋田県,山本郡三種町,40.09014,140.06334
05349,秋田県,山本郡八峰町,40.28616,140.06367
05361,秋田県,南秋田郡五城目町,39.94301,140.12393
05363,秋田県,南秋田郡八郎潟町,39.95195,140.07917
05366,秋田県,南秋田郡井川町,39.9064,140.11018
05368,秋田県,南秋田郡大潟村,40.01703,139.96298
05434,秋田県,仙北郡美郷町,39.42428,140.54506
05463,秋田県,雄勝郡羽後町,39.18632,140.42607
05464,秋田県,雄勝郡東成瀬村,39.1754,140.70999
06201,山形県,山形市,38.25294,140.32364
06202,山形県,米沢市,37.90998,140.11124
06203,山形県,鶴岡市,38.72681,139.83488
06204,山形県,酒田市,38.91183,139.86166
06205,山形県,新庄市,38.76345,140.30171
06206,山形県,寒河江市,38.37615,140.27916
06207,山形県,上山市,38.15979,140.28552
06208,山形県,村山市,38.48506,140.38865
06209,山形県,長井市,38.10675,140.03715
06210,山形県,天童市,38.35558,140.36938
06211,山形県,東根市,38.42668,140.39113
06212,山形県,尾花沢市,38.60533,140.41281
06213,山形県,南陽市,38.05305,140.14736
06301,山形県,東村山郡山辺町,38.28354,140.25847
06302,山形県,東村山郡中山町,38.33651,140.27619
06321,山形県,西村山郡河北町,38.42036,140.31233
06322,山形県,西村山郡西川町,38.45796,140.09385
06323,山形県,西村山郡朝日町,38.29804,140.13262
06324,山形県,西村山郡大江町,38.37593,140.15741
06341,山形県,北村山郡大石田町,38.59398,140.36779
06361,山形県,最上郡金山町,38.88058,140.32392
06362,山形県,最上郡最上町,38.76276,140.5151
06363,山形県,最上郡舟形町,38.69367,140.28614
06364,山形県,最上郡真室川町,38.89037,140.26976
06365,山形県,最上郡大蔵村,38.6809,140.229
06366,山形県,最上郡鮭川村,38.8169,140.21859
06367,山形県,最上郡戸沢村,38.74871,140.16833
06381,山形県,東置賜郡高畠町,37.99572,140.17742
06382,山形県,東置賜郡川西町,38.00507,140.06425
06401,山形県,西置賜郡小国町,38.05789,139.74913
06402,山形県,西置賜郡白鷹町,38.19905,140.09474
06403,山形県,西置賜郡飯豊町,37.93522,139.91701
06426,山形県,東田川郡三川町,38.793,139.84917
06428,山形県,東田川郡庄内町,38.8395,139.91084
06461,山形県,飽海郡遊佐町,39.02057,139.90674
07201,福島県,福島市,37.76122,140.44658
07202,福島県,会津若松市,37.51117,139.92273
07203,福島県,郡山市,37.40074,140.34783
07204,福島県,いわき市,37.02343,140.89095
07205,福島県,白河市,37.11654,140.24936
07207,福島県,須賀川市,37.29645,140.36972
07208,福島県,喜多方市,37.65075,139.87642
07209,福島県,相馬市,37.79084,140.92349
07210,福島県,二本松市,37.59714,140.45769
07211,福島県,田村市,37.42786,140.60144
07212,福島県,南相馬市,37.6297,140.97638
07213,福島県,伊達市,37.8247,140.58132
07214,福島県,本宮市,37.50578,140.39662
07301,福島県,伊達郡桑折町,37.85072,140.51996
07303,福島県,伊達郡国見町,37.88135,140.55514
07308,福島県,伊達郡川俣町,37.66765,140.59479
07322,福島県,安達郡大玉村,37.54235,140.36655
07342,福島県,岩瀬郡鏡石町,37.24614,140.35259
07344,福島県,岩瀬郡天栄村,37.24589,140.24609
07362,福島県,南会津郡下郷町,37.25986,139.88427
07364,福島県,南会津郡檜枝岐村,37.01892,139.38539
07367,福島県,南会津郡只見町,37.31835,139.37433
07368,福島県,南会津郡南会津町,37.19842,139.70382
07402,福島県,耶麻郡北塩原村,37.67113,139.97675
07405,福島県,耶麻郡西会津町,37.59073,139.64758
07407,福島県,耶麻郡磐梯町,37.56309,139.99091
07408,福島県,耶麻郡猪苗代町,37.56077,140.11503
07421,福島県,河沼郡会津坂下町,37.5598,139.8267
07422,福島県,河沼郡湯川村,37.56522,139.88567
07423,福島県,河沼郡柳津町,37.46289,139.70738
07444,福島県,大沼郡三島町,37.47219,139.65121
07445,福島県,大沼郡金山町,37.43345,139.52676
07446,福島県,大沼郡昭和村,37.32857,139.63929
07447,福島県,大沼郡会津美里町,37.45364,139.86579
07461,福島県,西白河郡西郷村,37.14519,140.16454
07464,福島県,西白河郡泉崎村,37.15829,140.3004
07465,福島県,西白河郡中島村,37.14475,140.36147
07466,福島県,西白河郡矢吹町,37.19357,140.3538
07481,福島県,東白川郡棚倉町,37.03356,140.38525
07482,福島県,東白川郡矢祭町,36.86691,140.428
07483,福島県,東白川郡塙町,36.95282,140.41225
07484,福島県,東白川郡鮫川村,37.03029,140.49876
07501,福島県,石川郡石川町,37.15016,140.44343
07502,福島県,石川郡玉川村,37.20928,140.43351
07503,福島県,石川郡平田村,37.21831,140.56625
07504,福島県,石川郡浅川町,37.08131,140.41884
07505,福島県,石川郡古殿町,37.10125,140.55158
07521,福島県,田村郡三春町,37.42622,140.48314
07522,福島県,田村郡小野町,37.2867,140.61604
07541,福島県,双葉郡広野町,37.21987,140.99367
07542,福島県,双葉郡楢葉町,37.27161,140.99916
07543,福島県,双葉郡富岡町,37.35921,140.99684
07544,福島県,双葉郡川内村,37.33254,140.81031
07545,福島県,双葉郡大熊町,37.40022,140.99693
07546,福島県,双葉郡双葉町,37.44949,141.00129
07547,福島県,双葉郡浪江町,37.49218,140.98177
07548,福島県,双葉郡葛尾村,37.50733,140.76069
07561,福島県,相馬郡新地町,37.86594,140.91431
07564,福島県,相馬郡飯舘村,37.68764,140.72649
08201,茨城県,水戸市,36.3749,140.45588
08202,茨城県,日立市,36.58166,140.64137
08203,茨城県,土浦市,36.08419,140.19376
08204,茨城県,古河市,36.19044,139.72193
08205,茨城県,石岡市,36.20059,140.26863
08207,茨城県,結城市,36.27619,139.86755
08208,茨城県,龍ヶ崎市,35.92522,140.17816
08210,茨城県,下妻市,36.187,139.968
08211,茨城県,常総市,36.06258,139.97688
08212,茨城県,常陸太田市,36.54971,140.51636
08214,茨城県,高萩市,36.71628,140.71383
08215,茨城県,北茨城市,36.80402,140.73639
08216,茨城県,笠間市,36.34778,140.29537
08217,茨城県,取手市,35.91134,140.06839
08219,茨城県,牛久市,35.97349,140.15338
08220,茨城県,つくば市,36.08012,140.09188
08221,茨城県,ひたちなか市,36.38563,140.55592
08222,茨城県,鹿嶋市,35.97193,140.62939
08223,茨城県,潮来市,35.9528,140.56993
08224,茨城県,守谷市,35.95049,139.98534
08225,茨城県,常陸大宮市,36.5744,140.37794
08226,茨城県,那珂市,36.46581,140.47893
08227,茨城県,筑西市,36.29919,139.98384
08228,茨城県,坂東市,36.05688,139.89792
08229,茨城県,稲敷市,35.93624,140.35992
08230,茨城県,かすみがうら市,36.12661,140.25197
08231,茨城県,桜川市,36.3554,140.10903
08232,茨城県,神栖市,35.87631,140.70355
08233,茨城県,行方市,36.0596,140.49047
08234,茨城県,鉾田市,36.17058,140.52771
08235,茨城県,つくばみらい市,35.98611,140.03158
08236,茨城県,小美玉市,36.21012,140.34883
08302,茨城県,東茨城郡茨城町,36.28815,140.41286
08309,茨城県,東茨城郡大洗町,36.31615,140.56948
08310,茨城県,東茨城郡城里町,36.47866,140.34918
08341,茨城県,那珂郡東海村,36.46766,140.56868
08364,茨城県,久慈郡大子町,36.78472,140.35707
08442,茨城県,稲敷郡美浦村,36.01435,140.32643
08443,茨城県,稲敷郡阿見町,36.0258,140.22216
08447,茨城県,稲敷郡河内町,35.87832,140.25783
08521,茨城県,結城郡八千代町,36.18297,139.90169
08542,茨城県,猿島郡五霞町,36.10218,139.74157
08546,茨城県,猿島郡境町,36.11086,139.81287
08564,茨城県,北相馬郡利根町,35.87057,140.15973
