# English (Hepburn) municipality names, keyed on the five-digit municipality
# code (全国地方公共団体コード).
#
# city_en / pref_en come from Japan Post's romanized zipcode data (KEN_ALL_ROME,
# downloaded 2026-08-28, https://www.post.japanpost.jp/zipcode/download.html);
# Hamamatsu's pre-2024 wards romanized manually.
#
# city_ja is the same municipality's Japanese name, joined on the code from
# equity/gazetteer_municipalities.csv (Geolonia japanese-addresses, CC BY 4.0).
# It is here so a source that names a municipality in Japanese but gives no
# code -- the Tourism Agency's accommodation survey, for one -- can still be
# matched to a published romanization instead of one invented here.
#
# Aggregate rows (prefecture totals, designated-city totals, 郡 subtotals) are
# NOT in this file: they are derived from their members in app/place_en.py.
code,city_en,pref_en,city_ja
03214,Hachimantai-shi,Iwate,八幡平市
03215,Oshu-shi,Iwate,奥州市
03216,Takizawa-shi,Iwate,滝沢市
03301,Iwate-gun Shizukuishi-cho,Iwate,岩手郡雫石町
03302,Iwate-gun Kuzumaki-machi,Iwate,岩手郡葛巻町
03303,Iwate-gun Iwate-machi,Iwate,岩手郡岩手町
03321,Shiwa-gun Shiwa-cho,Iwate,紫波郡紫波町
03322,Shiwa-gun Yahaba-cho,Iwate,紫波郡矢巾町
03366,Waga-gun Nishiwaga-machi,Iwate,和賀郡西和賀町
03381,Isawa-gun Kanegasaki-cho,Iwate,胆沢郡金ケ崎町
03402,Nishiiwai-gun Hiraizumi-cho,Iwate,西磐井郡平泉町
03441,Kesen-gun Sumita-cho,Iwate,気仙郡住田町
03461,Kamihei-gun Otsuchi-cho,Iwate,上閉伊郡大槌町
03482,Shimohei-gun Yamada-machi,Iwate,下閉伊郡山田町
03483,Shimohei-gun Iwaizumi-cho,Iwate,下閉伊郡岩泉町
03484,Shimohei-gun Tanohata-mura,Iwate,下閉伊郡田野畑村
03485,Shimohei-gun Fudai-mura,Iwate,下閉伊郡普代村
03501,Kunohe-gun Karumai-machi,Iwate,九戸郡軽米町
03503,Kunohe-gun Noda-mura,Iwate,九戸郡野田村
03506,Kunohe-gun Kunohe-mura,Iwate,九戸郡九戸村
03507,Kunohe-gun Hirono-cho,Iwate,九戸郡洋野町
03524,Ninohe-gun Ichinohe-machi,Iwate,二戸郡一戸町
04101,Sendai-shi Aoba-ku,Miyagi,仙台市青葉区
04102,Sendai-shi Miyagino-ku,Miyagi,仙台市宮城野区
04103,Sendai-shi Wakabayashi-ku,Miyagi,仙台市若林区
04104,Sendai-shi Taihaku-ku,Miyagi,仙台市太白区
04105,Sendai-shi Izumi-ku,Miyagi,仙台市泉区
04202,Ishinomaki-shi,Miyagi,石巻市
04203,Shiogama-shi,Miyagi,塩竈市
04205,Kesennuma-shi,Miyagi,気仙沼市
04206,Shiroishi-shi,Miyagi,白石市
04207,Natori-shi,Miyagi,名取市
04208,Kakuda-shi,Miyagi,角田市
04209,Tagajo-shi,Miyagi,多賀城市
04211,Iwanuma-shi,Miyagi,岩沼市
04212,Tome-shi,Miyagi,登米市
04213,Kurihara-shi,Miyagi,栗原市
04214,Higashimatsushima-shi,Miyagi,東松島市
04215,Osaki-shi,Miyagi,大崎市
04216,Tomiya-shi,Miyagi,富谷市
04301,Katta-gun Zao-machi,Miyagi,刈田郡蔵王町
04302,Katta-gun Shichikashuku-machi,Miyagi,刈田郡七ヶ宿町
04321,Shibata-gun Ogawara-machi,Miyagi,柴田郡大河原町
04322,Shibata-gun Murata-machi,Miyagi,柴田郡村田町
04323,Shibata-gun Shibata-machi,Miyagi,柴田郡柴田町
04324,Shibata-gun Kawasaki-machi,Miyagi,柴田郡川崎町
04341,Igu-gun Marumori-machi,Miyagi,伊具郡丸森町
04361,Watari-gun Watari-cho,Miyagi,亘理郡亘理町
04362,Watari-gun Yamamoto-cho,Miyagi,亘理郡山元町
